trialDuration,stimulus2Loaded,trialEndTime,maxTrialTime,stimulus1Bid,receivedResponse,delta,rt,selected,rsp,trialStartTime,trialN,stimulus2Bid,stimulus1,stimulus1Loaded,stimulus2
1987.4,True,253105.44,4000,1.41,True,0,1987.4,ChipsAhoy_small,u,251118.04,171,1.41,ChipsAhoy_small,True,Oreos
1172.865,True,254786.36,4000,1.04,True,-0.19,1172.865,Slimjim,i,253613.495,172,0.85,Nutterbutter,True,Slimjim
4000.735,True,259295.645,4000,0.27,False,-0.06,4000.735,None,NaN,255294.91,173,0.21,TootsieRolls,True,Doritosranch
4005.37,True,263806.365,4000,0.24,False,-0.21,4005.37,None,NaN,259800.995,174,0.03,PopTartsStrawberry,True,Hersheymilk_several
4000.21,True,268312.655,4000,2.5,False,0.12,4000.21,None,NaN,264312.445,175,2.62,FamousAmos_small,True,Snickers
4001.82,True,272818.7,4000,0.45,False,0.69,4001.82,None,NaN,268816.88,176,1.14,MrsFields,True,Cheezits
4184.58,True,277506.59,4000,1.27,False,-0.06,4184.58,None,NaN,273322.01,177,1.21,BabyRuth,True,Riprolls
6030.92,True,284537.67,4000,2.9,False,-0.5,6030.92,None,NaN,278506.75,178,2.4,AnimalCrackers,True,Cheetos
6204.885,True,291711.935,4000,1.41,False,0,6204.885,None,NaN,285507.05,179,1.41,RiceKrispyTreat_small,True,ChipsAhoy_small
4999.69,True,297506.595,4000,1.93,False,0.69,4999.69,None,NaN,292506.905,180,2.62,Granolabar,True,Snickers
7498.08,True,306005.915,4000,0.45,False,1.32,7498.08,None,NaN,298507.835,181,1.77,MrsFields,True,CheesyDoritos
6652.47,True,313212.265,4000,1.39,False,0.02,6652.47,None,NaN,306559.795,182,1.41,Skittles,True,Oreos
6521.99,True,321673.41,4000,1.28,False,0.06,6521.99,None,NaN,315151.42,183,1.34,Whatchamacallit,True,3Musketeers
5694.59,True,328538.645,4000,0.45,False,-0.04,5694.59,None,NaN,322844.055,184,0.41,MilkyWay,True,Ruffles
4657.83,True,334624.915,4000,2.99,False,-0.15,4657.83,None,NaN,329967.085,185,2.84,starburst,True,Goldfish
6638.545,True,342513.305,4000,0.27,False,0.92,6638.545,None,NaN,335874.76,186,1.19,TootsieRolls,True,RitzBitz2
4651.965,True,348612.85,4000,1.93,False,-1.27,4651.965,None,NaN,343960.885,187,0.66,Granolabar,True,Toberlorone
6730.35,True,356682.245,4000,0.95,False,-0.54,6730.35,None,NaN,349951.895,188,0.41,Lollipopred,True,Ruffles
6739.875,True,364652.385,4000,1.14,False,1.1,6739.875,None,NaN,357912.51,189,2.24,Cheezits,True,Almondjoy
6434.435,True,372362.075,4000,1.41,False,0.07,6434.435,None,NaN,365927.64,190,1.48,RiceKrispyTreat_small,True,KitKat_small
6647.37,True,380696.34,4000,0.66,False,0.1,6647.37,None,NaN,374048.97,191,0.76,Toberlorone,True,Ghiradelli_milk
6883.005,True,388781.155,4000,1.96,False,0.11,6883.005,None,NaN,381898.15,192,2.07,Milano,True,Funyuns_small
6770.415,True,396633.165,4000,2.84,False,-0.77,6770.415,None,NaN,389862.75,193,2.07,Goldfish,True,Funyuns_small
6907.725,True,404730.19,4000,1.41,False,0.36,6907.725,None,NaN,397822.465,194,1.77,ChipsAhoy_small,True,CheesyDoritos
6896.635,True,412785.215,4000,1.21,False,-0.26,6896.635,None,NaN,405888.58,195,0.95,Riprolls,True,Lollipopred
6986.85,True,420823.16,4000,1.09,False,-0.64,6986.85,None,NaN,413836.31,196,0.45,TeddyGrahamschocolate,True,MilkyWay
7135.205,True,428866.655,4000,1.93,False,-0.16,7135.205,None,NaN,421731.45,197,1.77,Granolabar,True,CheesyDoritos
